key,English,
about,About,
accept,Accept,
account,Account,
account_closing_tips,"This page will not be displayed after closing, please remember the account information",
account_disactive_content,"Your account is currently unavailable, please contact your service provider.",
account_exit_content,Your account is already signed in on %1$s.,
account_experience_content,Your account has expired. Please log in again.,
account_invalid_content,"Invalid identity information, please login again.",
account_is_locked,"Account is locked, unlock in %d minutes.",
account_is_not_ready,Your account is not yet ready.,
account_login_have_one_chance,"Account or Password is wrong,\nyou have one more chances,\naccount will be locked.",
account_login_have_two_chance,"Account or Password is wrong,\nyou have two more chances,\naccount will be locked.",
account_setting,Account Setting,
account_unavailable,Account Unavailable,
account_unbind_family,Please log in again.,
account_will_changed,you will unbind this family and log out of the app.,
account_will_deleted,Your account will be deleted.,
acoustic_echo_cancellation,Acoustic Echo Cancellation,
add_air_conditioner,Add Air Conditioner,
add_device,Add Device,
add_device_choose_tips,Please select the device you want to add.,
add_device_common_title,Add %s,
add_device_ecobee_api_key_input_tips,Please enter the device's API key to establish connection.,
add_device_ecobee_authorize_input_tips,Please go to the ecobee Consumer Portal to complete authorization using the PIN below.,
add_device_exit,"Stop adding device, confirm exit?",
add_device_fibaro_input_tips,"Please enter the URL, Username and Password  to connect to the device.",
add_device_guide_confirm,Make sure the indicator is blinking rapidly.,
add_device_guide_content,"If the indicator is blinking rapidly, please skip the reset step:
1.Power on the device;
2.Press and hold the Reset button for at least 5 seconds until indicator light flashes..(Subject to the usermanual);
3.Make sure that the indicator is blinking rapidly;
Note:please complete the network configuration within 2 minutes after resetting the device.",
add_device_guide_net,Follow onscreen instructions to perform network pairing.,
add_device_guide_title,Reset the device first.,
add_device_ring_code_tips,Please enter the verification code found in your Ring registration Email.,
add_device_ring_user_tips,Please enter the username and password to connect to the device.,
add_device_scan,Scanning for nearby devices…,
add_device_scan_again,Scan Again,
add_device_scan_tips,Please make sure the device is connected to the network.,
add_device_scan_tips_2,Keep the device as close as possible to the gateway to be added,
add_device_somfy_input_tips,Please enter the System ID and IP Address.,
add_device_somfy_tips,Use Somfy MyLink App to obtain your System ID and the IP address.,
add_devices,Add Devices,
add_family_member,Add Family Member,
add_favorite_device,Add favorite device,
add_favorite_scene,Add favorite scene,
add_room,Add Room,
add_scene,Add scene,
add_security,Add security,
add_third_party_device_prompt_1,"To pair with the %s device,do as the following:\n\n1.Follow the device instructions to add it to the %s app.\n\n2.Ensure that the network used during the device setup is on the same local area network (LAN) as the panel.",
add_third_party_device_prompt_2,"To pair with the %s device,do as the following:\n\nEnsure that the Wi-Fi network used during the device setup is on the same local area network (LAN) as the panel.",
add_to_instagram,Do you want to add it to the screen?,
add_tv,Add TV,
adding_failed,Failed to add device. Please try again.,
adding_retry_tips,Please try again.,
adding_succeeded,Add device successfully,
advance_option,Advanced Options,
advance_option_obtain,Obtain,
advance_option_tips,Please enter the cloud server ID or the MAC address of the device that has been registered in the sever to obtain the server IP and the port before logging in the BelaHome app.,
advance_option_tv_port,Port,
advance_option_tv_server,Server,
advanced_settings,Advanced Settings,
agree,Agree,
aiddescription,aiddescription,
air_quality,Air Quality,
alarm,Alarm,
alarm_co_device_fault,Device Fault,
alarm_co_status,CO Alarm,
alarm_code_door_unlock,Door Unlock,
alarm_code_drmagnet,Drmagnet,
alarm_code_gas,Gas,
alarm_code_infrared,Infrared,
alarm_code_smoke,Smoke,
alarm_code_sos,SOS,
alarm_code_tamper,Tamper,
alarm_code_urgency,Urgency,
alarm_flood,Flood Alarm,
alarm_label_ir_dected,Motion Detected,
alarm_label_ir_not_dected,No Motion Detected,
alarm_location_balcony,Balcony,
alarm_location_bathroom,Bathroom,
alarm_location_bedroom,Bedroom,
alarm_location_door,Door,
alarm_location_gate,Gate,
alarm_location_guest_room,Guest Room,
alarm_location_hall,Hall,
alarm_location_kitchen,Kitchen,
alarm_location_study,Home Office,
alarm_location_window,Window,
alarm_lower,alarm,
alarm_siren,Alarm Siren,
alarm_zone_area1,Area1,
alarm_zone_area2,Area2,
alarm_zone_area3,Area3,
alarm_zone_area4,Area4,
alarm_zone_area5,Area5,
alarm_zone_area6,Area6,
alarm_zone_area7,Area7,
alarm_zone_area8,Area8,
album,Album,
all_account,All account,
all_close,All Close,
all_curtain_lower,all curtain,
all_door_lower,all door/window,
all_door_window_lower,all door/window,
all_fan_lower,all fan,
all_light_lower,all light,
all_lights,All Lights,
all_lower,all,
all_music_lower,all music,
all_off,All Off,
all_on,All On,
all_open,All Open,
all_play,All Play,
all_shades,All Shades,
all_siren_lower,all siren,
all_stop,All Stop,
all_switch_lower,all switch,
all_switchs,All Switchs,
allow_run_background,Allow to run in the background,
am,AM,
and,And,
any_close,Any Close,
any_lower,any,
any_off,Any Off,
any_on,Any On,
any_open,Any Open,
any_play,Any Play,
any_stop,Any Stop,
api_key,API Key,
app_is_started,BelaHome is started,
app_kasa_smart,Kasa Smart,
app_lutron,Lutron,
app_name,BelaHome,
app_somfy,Somfy,
app_sonos,Sonos,
app_version,Application version,
app_yeelight,Yeelight,
aqi,AQI,
arm,Arm,
arming_away,Away,
arming_custom,Customized,
arming_disarm,Disarm,
arming_home,Home,
arming_home_mode,Home mode,
arming_lower,arming,
arming_mode,Arming mode,
arming_mode_list,Arming mode List,
arming_sleep,Sleep,
associated_device,Associated Device %s,
audio,Voice,
audio_call_failed,Voice call not connected.,
audio_call_time,Audio call time %s,
authentication,Authentication,
authentication_password_hint,Please enter your password,
authentication_tips,"Before delete your account, please note that this action is permanent and cannot be undone. Enter your password to confirm your decision.",
authority,Authority,
authority_administrator,Administrator,
authority_management,Management,
authorization,Authorization,
authorize_title,Number of allowed times.,
auto,Auto,
auto_scan_failed,No Devices Found.,
auto_update,Auto Update,
auto_update_tips,The device will be automatically updated during inactive hours.,
automate,Automate,
automation,Automation,
back,Back,
balcony,Balcony,
battery_level,Battery Level,
battery_of_the_device,Device battery,
battery_status,Battery status,
belahome_with_app_backup,Both the app and phone.,
belong_to,Belong to,
binding_email,Binding email,
ble_unlock,Bluetooth Unlock,
bluetooth_access_failed,Bluetooth access failed.,
bluetooth_access_succeed,Bluetooth access succeed.,
bluetooth_not_supported,Bluetooth not support,
brand,Brand,
bright,Bright,
brightness,Brightness,
busy_here,Busy Here,
bypass_lower,bypass,
bypass_recovery,bypass recovery,
bypass_unit_day,Day,
bypass_unit_hour,Hour,
bypass_unit_minute,Minute,
bypass_unit_week,Week,
cache_clear,Cache Clear,
cache_clear_content,"Including pic,video cache( total %1$s )",
cache_clear_fail,Cache clear fail.,
cache_clear_success,Cache cleared successfully.,
cache_clear_tips,Whether to clear the cache?,
call,Call,
call_authorize,Authorize,
call_calling,Calling,
call_conference,Conference,
call_conference_hold,Conference Hold,
call_connecting,Calling,
call_incoming,Incoming,
call_not_connected, call not connected,
call_receiving,Receiving,
call_settings,Call Settings,
call_someone,Call Someone,
call_states_bitrate,%d kbps,
call_states_framerate,%d fps,
call_states_lostrate,%d,
call_states_rtt,%d ms,
call_talking,Talking,
call_to,Call to,
call_type_group_call,Group Call,
call_type_phone,Phone,
call_type_phone_with_smartplus_as_backup,BelaHome with phone as backup,
call_type_sequence_call,Sequence Call,
camera,Camera,
camera_error,This device does not support Camera2 API.,
cancel,Cancel,
capture,Capture,
capture_completed,Capture Completed.,
capture_info,Device Capture Info,
change_device_type_tips,Are you sure you want to change the device type? This action will remove all configurations associated with the device across all scenes.,
change_location,Change Location,
change_password,Change Password,
change_password_in_cloudless_tips,"Cloudless mode is enabled.If forgot password, please reset it on the home center.",
change_password_tips,Please change your default password.,
change_to_speaker_tips,Voice will be played via speaker.,
changing_log,What's New,
channel,Channel,
check_device_updates,Check device updates,
check_update,Check for Updates,
choose_a_room,Choose Room,
choose_administrator,Choose %@ as administrator?,
choose_from_the_album,Choose from the album,
choose_relay_title,Please select the door you want to open.,
clear,Clear,
close,Close,
closet,Closet,
closing,Closing,
cloudless_mode_tip,please re-log in to Cloudless mode,
code,Code,
color_temperature,Color Temperature,
common_brand,Common Brand,
component_not_working,Component not working,
component_not_working_tips,"This %s can't not working, Please delete it.",
condition_is,Condition is,
condition_lower,condition,
condition_time_select_error_tips,The start time must be earlier than the end time,
condition_tips_datetime_sunrise,if everyday sunrise,
condition_tips_datetime_sunset,if everyday sunset,
condition_tips_datetime_time,If it is between %s and %s %s,
condition_tips_device_battery_level,If %s %s battery level is %s %s,
condition_tips_device_brightness,If %s %s brightness is %s %s,
condition_tips_device_close,If %s %s close,
condition_tips_device_ding,If %s is dinging,
condition_tips_device_energy_consumption,If the %s energy consumption of %s is %s %s,
condition_tips_device_humidity,If humidity of %s %s is %s %s,
condition_tips_device_illuminance,If %s illuminance is %s %s,
condition_tips_device_no_one_detected,If %s %s dectected no one,
condition_tips_device_off,If %s %s turn off,
